id;part_no;name;description;is_for_sale;price
1;4842;hoarse psst emerge;although huzzah absent;true;12636.11
2;7435;psst grouchy card;unabashedly hence;false;16021.47
3;32254;unto providence minor;familiar mid;true;26491.93
4;16990;pish submitter;provided following while;true;19175.47
5;9790;faithfully;stoop merrily;false;10992.32
6;25748;huzzah;without best;false;21438.77
7;8533;knife;sugary because ew;true;5256.38
8;18618;hm;magnetize fisherman;true;19071.96
9;22991;nougat;yawningly far;true;32134.56
10;25070;icy between presell;like but;true;12200.17
